date_time,minute,open,high,low,close,volume
2002.12.01,00:00,0.99440,1.01320,0.98590,1.00990,29043
2002.12.08,00:00,1.01000,1.02620,1.00580,1.02390,29129
2002.12.15,00:00,1.02340,1.03370,1.01930,1.02690,29624
2002.12.22,00:00,1.02720,1.04460,1.02150,1.04400,22606
2002.12.29,00:00,1.04190,1.05070,1.03340,1.04250,20764
2003.01.05,00:00,1.04190,1.05880,1.03590,1.05810,29106
2003.01.12,00:00,1.05780,1.06830,1.05020,1.06690,28529
2003.01.19,00:00,1.06570,1.08570,1.06310,1.08270,29875
2003.01.26,00:00,1.08380,1.09100,1.07220,1.07700,25477
2003.02.02,00:00,1.07910,1.09400,1.06910,1.08190,27461
2003.02.09,00:00,1.08190,1.08630,1.06640,1.07910,36382
2003.02.16,00:00,1.07740,1.08510,1.06640,1.07750,48492
2003.02.23,00:00,1.07220,1.08380,1.07050,1.08080,41486
2003.03.02,00:00,1.07830,1.10710,1.07660,1.10080,47432
2003.03.09,00:00,1.10060,1.10870,1.06870,1.07470,44719
2003.03.16,00:00,1.07850,1.08470,1.04990,1.05280,49170
2003.03.23,00:00,1.05870,1.08040,1.05640,1.07850,39127
2003.03.30,00:00,1.07970,1.09630,1.06800,1.07300,42987
2003.04.06,00:00,1.06710,1.08340,1.05580,1.07490,40035
2003.04.13,00:00,1.07430,1.09800,1.07160,1.08750,40623
2003.04.20,00:00,1.08970,1.10540,1.08200,1.10330,48314
2003.04.27,00:00,1.10380,1.12890,1.09310,1.12310,55426
2003.05.04,00:00,1.12270,1.15410,1.12030,1.14900,55916
2003.05.11,00:00,1.15320,1.16270,1.13690,1.15960,60353
2003.05.18,00:00,1.16730,1.18440,1.16030,1.18410,62009
2003.05.25,00:00,1.18310,1.19380,1.16900,1.17740,60490
2003.06.01,00:00,1.17190,1.18920,1.16310,1.17000,65425
2003.06.08,00:00,1.17090,1.18820,1.16550,1.18690,60637
2003.06.15,00:00,1.18770,1.19340,1.15490,1.16080,62887
2003.06.22,00:00,1.15800,1.16270,1.13970,1.14290,57471
2003.06.29,00:00,1.14310,1.16120,1.14000,1.14940,47707
2003.07.06,00:00,1.14810,1.14890,1.12560,1.12880,57072
2003.07.13,00:00,1.12880,1.13410,1.11090,1.12690,58556
2003.07.20,00:00,1.12500,1.15540,1.12420,1.15070,54669
2003.07.27,00:00,1.14970,1.15420,1.11340,1.12770,56052
2003.08.03,00:00,1.12840,1.14290,1.12590,1.13090,53475
2003.08.10,00:00,1.13060,1.13850,1.12170,1.12680,138223
2003.08.17,00:00,1.12670,1.12730,1.08330,1.08780,143927
2003.08.24,00:00,1.08700,1.10020,1.07860,1.09830,119912
2003.08.31,00:00,1.09870,1.11150,1.07620,1.11080,35396
2003.09.07,00:00,1.11090,1.13300,1.10460,1.12910,31933
2003.09.14,00:00,1.12620,1.13950,1.11390,1.13930,36587
2003.09.21,00:00,1.14500,1.15380,1.13720,1.14790,46550
2003.09.28,00:00,1.14600,1.17710,1.13960,1.15790,58751
2003.10.05,00:00,1.15760,1.18620,1.15310,1.18060,59774
2003.10.12,00:00,1.18100,1.18180,1.15440,1.16820,66057
2003.10.19,00:00,1.17040,1.18590,1.16010,1.17850,55704
